image_id,psnr,theta_psnr,ssim_percent,compression_ratio,roi_percentage,iou
2007_000364,13.31151379725709,7.123056289130481,16.733402013778687,1.5003777501354558,5.3653717041015625,0.0
2007_009655,15.013589239692553,9.583113296673016,18.835043907165527,1.5011911306578707,5.4302215576171875,0.0
2008_004055,15.009512298789572,5.878800421221203,20.443426072597504,1.500300467584794,0.328826904296875,0.0
2009_003065,14.307689001759067,10.959029570171534,17.611122131347656,1.500329089823398,3.0582427978515625,0.0
2010_001313,14.263649426538954,6.484132633165362,11.027824878692627,1.500595328957411,0.555419921875,0.0
2009_002586,11.828540232194813,6.86294044248542,12.482843548059464,1.5007356435020065,16.033554077148438,0.0
2008_001479,13.933283786774284,5.68977013988011,13.29190731048584,1.5006869599731323,3.8818359375,0.0
2010_004598,14.951931566439931,,7.745826244354248,1.5003319521073235,0.0,1.0
2009_003589,14.10098429579558,9.589187399536884,17.681442201137543,1.5005122980143444,3.719329833984375,0.0
2009_005130,15.010325493526068,10.594919396514452,13.070307672023773,1.5006325527079554,4.4307708740234375,0.0
2007_004768,15.075004206984202,11.439776208547993,12.341206520795822,1.5002718464382394,0.2635955810546875,0.0
2011_001613,14.795853393254275,,9.432867169380188,1.5009991621162007,0.0,0.0
2011_002447,15.323629856974382,16.25408575551989,13.98807018995285,1.5002689843836443,2.2064208984375,0.0
2007_003011,15.763227088356961,,12.398815155029297,1.5005323391248269,0.0,1.0
2007_001677,14.319979896277895,9.63938924008444,14.854796230793,1.5006039188897815,2.6767730712890625,0.0
2007_009654,14.390839216164405,5.906571408437405,9.708955883979797,1.501176802951838,3.215789794921875,0.0
2008_001643,12.881834080966385,8.39838705994192,12.743912637233734,1.5003548507718958,13.653564453125,0.0
2011_001434,13.050212662835602,5.169306979912232,13.189072906970978,1.5002689843836443,4.9083709716796875,0.0
2009_000006,15.088681166132092,11.276233848110941,18.371063470840454,1.5005523807706618,0.1132965087890625,0.0
2008_003523,13.938112402811324,8.087315610277816,13.107724487781525,1.5011997274127693,4.473114013671875,0.0
2011_000834,14.690152503515497,,8.89534056186676,1.500443589699561,0.0,1.0
2009_000887,14.299406245887283,5.248833452005455,14.621777832508087,1.5005266130386337,1.78375244140625,0.0
2010_002146,15.07600931608576,7.442115272718927,12.491042166948318,1.5008387484613404,1.9805908203125,0.0
2008_006509,14.247483814181978,5.2063494019529335,16.467349231243134,1.5003634379513164,0.6465911865234375,0.0
2007_005600,15.402802252657766,,13.729892671108246,1.5005523807706618,0.0,1.0
2008_000491,15.469671650597602,,14.033748209476471,1.5005008461915657,0.0,1.0
2010_000498,14.67545181172191,,13.471697270870209,1.5009275446404715,0.0,1.0
2010_001995,13.672671376250216,3.4144732483612135,10.167599469423294,1.5007241882698674,3.400421142578125,0.0
2011_000790,15.911120950083975,7.757435695767663,15.470342338085175,1.5003262275503935,0.9654998779296875,0.0
2009_004653,14.683631698393215,,10.86544618010521,1.5005838758672274,0.0,1.0
2010_005982,12.893799855496919,6.354552348226981,11.564383655786514,1.5004464524203827,8.588409423828125,0.0
2010_000132,12.680207167986975,4.6314747063072765,11.03384792804718,1.5006726418892746,6.1107635498046875,0.0
2009_000426,14.742760902452858,,17.674632370471954,1.5003462636907703,0.0,1.0
2010_004773,11.543848591390082,4.304149163148224,12.20531091094017,1.5002317786675874,8.3404541015625,0.3278171196724083
2010_005871,13.006263095805767,7.263764438616253,11.768126487731934,1.500646870026829,9.370040893554688,0.0
2011_002515,14.628967194860161,9.016509575905808,13.06498795747757,1.5013516196527026,0.9197235107421875,0.0
2008_006784,14.971916791699604,,8.301488310098648,1.500732779677577,0.0,1.0
2008_008268,14.649455885734179,,16.742579638957977,1.500309054141707,0.0,1.0
2007_000033,14.675134900569795,,15.723775327205658,1.501695640218753,0.0,1.0
2010_003506,13.01592403592521,7.304656283305894,9.717505425214767,1.5007786021800862,10.851287841796875,0.0
2009_003323,12.648399526342455,6.1652598257908195,15.597380697727203,1.5003548507718958,8.563613891601562,0.0
2008_007858,15.13630863735418,,12.234597653150558,1.5006210990495563,0.0,1.0
2010_004363,14.107877882809817,9.861822325994572,13.139481842517853,1.5002546742744645,5.61370849609375,0.0
2008_000626,12.252807579374203,6.218156876799147,13.451002538204193,1.5006239624477646,10.504531860351562,0.0
2011_001910,15.221506336344028,,10.570982843637466,1.5008587982930908,0.0,1.0
2009_003810,12.441596609110018,6.605474838348478,11.935465782880783,1.500374887676784,13.469696044921875,0.0
2008_001387,14.374651418840184,5.653579780198927,10.709307342767715,1.5004092379017258,1.912689208984375,0.0
2007_008374,14.916669209991756,8.609267486934996,17.34250783920288,1.5004206883262328,0.1857757568359375,0.0
2010_003772,14.83708767986651,,14.248460531234741,1.5009218155376494,0.0,1.0
2008_007428,15.15522033257168,,10.536634922027588,1.5008043785674618,0.0,1.0
2009_003164,13.541600423151056,9.017339445640904,17.71623343229294,1.500329089823398,6.485748291015625,0.0
2009_000562,10.226992390045586,6.922111952320663,11.474234610795975,1.5003519884005991,27.413177490234375,0.0
2009_003406,10.388379018431097,6.0651078954002084,12.369712442159653,1.5004378642906884,21.480178833007812,0.0
2008_008682,14.954743341093605,,14.308544993400574,1.5008330200363742,0.0,1.0
2010_001849,7.206067345614924,4.880351437010234,9.354326874017715,1.500412100491468,42.234039306640625,0.0
2008_007828,12.638308408440215,7.286699500458073,11.428014189004898,1.500300467584794,10.297393798828125,0.0
2007_008140,13.852998210584492,8.009435910810865,14.794301986694336,1.5003061919451488,5.004119873046875,0.0
2009_000096,13.085504759492947,4.309042245388361,15.946902334690094,1.5003319521073235,4.3315887451171875,0.0
2009_000709,14.500288635597974,3.625849096965403,11.667690426111221,1.501085112109164,0.95672607421875,0.0
2007_004510,15.055258951992549,10.178450819214858,14.304938912391663,1.5007213244891573,2.0496368408203125,0.0
2009_004247,14.706180436894487,,10.107279568910599,1.5038263403664567,0.0,1.0
2009_001922,14.297106881384847,1.4437794073782255,16.399849951267242,1.50043213892551,0.0164031982421875,0.0
2008_001566,15.007070985989266,8.635353231322902,14.362935721874237,1.5005666965597513,1.9073486328125,0.0
